title,status,source,notes,local_file
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_bench_can_language_models_resolve_real_world_github_issues_.pdf
SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_agent_agent_computer_interfaces_enable_automated_software_engineering.pdf
Demystifying LLM-Based Software Engineering Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/demystifying_llm_based_software_engineering_agents.pdf
SWE-bench Goes Live!,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_bench_goes_live_.pdf
Terminal-Bench 2.0: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/terminal_bench_2_0_benchmarking_agents_on_hard_realistic_tasks_in_command_line_interfaces.pdf
CodeMonkeys: Scaling Test-Time Compute for Software Engineering,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/codemonkeys_scaling_test_time_compute_for_software_engineering.pdf
Thinking Longer, Not Larger: Enhancing Software Engineering Agents via Scaling Test-Time Compute,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/thinking_longer_not_larger_enhancing_software_engineering_agents_via_scaling_test_time_compute.pdf
Co-PatcheR: Collaborative Software Patching with Component(s)-specific Small Reasoning Models,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/co_patcher_collaborative_software_patching_with_component_s_specific_small_reasoning_models.pdf
Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/live_swe_agent_can_software_engineering_agents_self_evolve_on_the_fly_.pdf
Repo2Run: Automated Building Executable Environments for Code Repository at Scale,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/repo2run_automated_building_executable_environments_for_code_repository_at_scale.pdf
